INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (2, Popescu, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (3, Popescu, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (4, Popescu, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (5, Popescu, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (6, Popescu, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (7, Popescu, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (8, Popescu, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (9, Popescu, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (10, Popescu, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (11, Ionescu, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (12, Ionescu, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (13, Ionescu, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (14, Ionescu, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (15, Ionescu, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (16, Ionescu, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (17, Ionescu, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (18, Ionescu, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (19, Ionescu, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (20, Popa, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (21, Popa, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (22, Popa, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (23, Popa, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (24, Popa, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (25, Popa, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (26, Popa, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (27, Popa, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (28, Popa, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (29, Pop, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (30, Pop, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (31, Pop, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (32, Pop, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (33, Pop, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (34, Pop, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (35, Pop, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (36, Pop, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (37, Pop, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (38, Niță, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (39, Niță, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (40, Niță, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (41, Niță, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (42, Niță, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (43, Niță, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (44, Niță, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (45, Niță, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (46, Niță, Ştefania);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (47, Stoica, Ştefan );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (48, Stoica, Ionuţ);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (49, Stoica, Mihai);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (50, Stoica, Cristian );
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (51, Stoica, Darius);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (52, Stoica, Nicoleta);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (53, Stoica, Andreea);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (54, Stoica, Elena);
INSERT INTO Clienti (id_client, nume, prenume, varsta) VALUES (55, Stoica, Ştefania);
INSERT INTO Piese (id_piesa, titlu, durata) VALUES (56, Die , 6);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (313, 211, 197);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (314, 211, 200);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (315, 211, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (316, 212, 199);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (317, 212, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (318, 213, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (319, 213, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (320, 214, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (321, 215, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (322, 215, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (323, 215, 199);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (324, 215, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (325, 216, 196);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (326, 216, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (327, 216, 193);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (328, 217, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (329, 217, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (330, 218, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (331, 218, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (332, 218, 187);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (333, 219, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (334, 219, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (335, 219, 187);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (336, 219, 193);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (337, 219, 193);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (338, 220, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (339, 220, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (340, 220, 196);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (341, 220, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (342, 221, 196);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (343, 222, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (344, 223, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (345, 224, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (346, 224, 187);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (347, 225, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (348, 225, 193);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (349, 225, 196);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (350, 226, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (351, 227, 200);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (352, 227, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (353, 227, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (354, 227, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (355, 228, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (356, 228, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (357, 228, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (358, 229, 199);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (359, 230, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (360, 230, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (361, 230, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (362, 230, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (363, 230, 199);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (364, 231, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (365, 231, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (366, 232, 199);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (367, 233, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (368, 233, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (369, 234, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (370, 234, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (371, 234, 197);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (372, 234, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (373, 235, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (374, 235, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (375, 235, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (376, 235, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (377, 235, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (378, 236, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (379, 236, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (380, 236, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (381, 236, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (382, 236, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (383, 237, 190);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (384, 237, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (385, 237, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (386, 238, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (387, 239, 197);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (388, 239, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (389, 239, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (390, 239, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (391, 240, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (392, 240, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (393, 240, 197);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (394, 240, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (395, 241, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (396, 241, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (397, 242, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (398, 242, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (399, 243, 193);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (400, 243, 197);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (401, 243, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (402, 243, 197);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (403, 244, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (404, 245, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (405, 245, 188);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (406, 245, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (407, 245, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (408, 245, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (409, 246, 196);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (410, 246, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (411, 246, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (412, 246, 199);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (413, 246, 192);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (414, 247, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (415, 247, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (416, 247, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (417, 248, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (418, 248, 194);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (419, 249, 198);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (420, 249, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (421, 249, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (422, 249, 195);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (423, 249, 189);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (424, 250, 186);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (425, 250, 191);
INSERT INTO Comanda_Album (id_comanda_album, id_comanda, id_album) VALUES (426, 250, 193);
